"INDIC","Indicator","LOCATION","Country","CPL_COUNTRY","Country currency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CPL","Comparative price levels","FRA","France","AUT","Austria EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,101,,
"CPL","Comparative price levels","DEU","Germany","AUT","Austria EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,97,,
"CPL","Comparative price levels","GRC","Greece","AUT","Austria EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,77,,
"CPL","Comparative price levels","HUN","Hungary","AUT","Austria EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,57,,
"CPL","Comparative price levels","ISL","Iceland","AUT","Austria EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,151,,
"CPL","Comparative price levels","IRL","Ireland","AUT","Austria EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,113,,
"CPL","Comparative price levels","ITA","Italy","AUT","Austria EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,94,,
"CPL","Comparative price levels","JPN","Japan","AUT","Austria EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,92,,
"CPL","Comparative price levels","KOR","Korea","AUT","Austria EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,90,,
"CPL","Comparative price levels","LUX","Luxembourg","AUT","Austria EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,116,,
"CPL","Comparative price levels","MEX","Mexico","AUT","Austria EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,55,,
"CPL","Comparative price levels","NLD","Netherlands","AUT","Austria EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,103,,
"CPL","Comparative price levels","NZL","New Zealand","AUT","Austria EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,114,,
"CPL","Comparative price levels","NOR","Norway","AUT","Austria EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,127,,
"CPL","Comparative price levels","POL","Poland","AUT","Austria EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,53,,
"CPL","Comparative price levels","PRT","Portugal","AUT","Austria EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,78,,
"CPL","Comparative price levels","SVK","Slovak Republic","AUT","Austria EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,64,,
"CPL","Comparative price levels","ESP","Spain","AUT","Austria EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,86,,
"CPL","Comparative price levels","SWE","Sweden","AUT","Austria EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,113,,
"CPL","Comparative price levels","CHE","Switzerland","AUT","Austria EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,138,,
"CPL","Comparative price levels","TUR","Turkey","AUT","Austria EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,47,,
"CPL","Comparative price levels","GBR","United Kingdom","AUT","Austria EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,108,,
"CPL","Comparative price levels","USA","United States","AUT","Austria EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,97,,
